text,video_url,author,likes,time
The 3rd one is a flood not a tsunami they are common here in Turkey get your facts right,https://www.youtube.com/watch?v=MUC5kNCMetY,@Haunterie,0,
that turkish lady didn't give a fuck 😂,https://www.youtube.com/watch?v=MUC5kNCMetY,@RandomGrenadeFilms,0,
His Spanish is horrible. 🤣🤣🤣,https://www.youtube.com/watch?v=MUC5kNCMetY,@patrickcarter4012,0,
Hay 2 tipos de Tsunamis los de verdad y los de Hollywood ...🤣🤣🤣🤣🤣,https://www.youtube.com/watch?v=MUC5kNCMetY,@fernandover9538,0,
5:12  that lady was confused as hell,https://www.youtube.com/watch?v=MUC5kNCMetY,@Gamingwithsaturo,1,
3:12 KUROMASHINAISISDDAS,https://www.youtube.com/watch?v=MUC5kNCMetY,@Gamingwithsaturo,0,
2:00  WOOOOOOOAAAAAAAAAHHHHHHHH,https://www.youtube.com/watch?v=MUC5kNCMetY,@Gamingwithsaturo,0,
"Is the first one A.I. generated, or C.G.I? Or are those synonymous?",https://www.youtube.com/watch?v=MUC5kNCMetY,@FastEddy1959,0,
"We wanna see 50-100m waves caught on camera, not sissy waves like these...",https://www.youtube.com/watch?v=MUC5kNCMetY,@jeromed2,0,
Where we live we have two gullies between us and the ocean so I always hope we’re safe!,https://www.youtube.com/watch?v=MUC5kNCMetY,@janicevasey4038,0,
"Not a single big wave hitting shore in this whole damm video. Damm, what was the title here? Click baited to many times, I gotta unsubscribe to this channel.",https://www.youtube.com/watch?v=MUC5kNCMetY,@eddieh5039,0,
"The Younger Dyus extinction circa 10,900 B.C. caused a 400 ft  rirse in sea level whan a very large comet broke apart melting the North American and Greenland ice sheets that were 1 to 2 miles deep. The U.S. megafauna and Clovis tribe was wiped out. Massive tsunamies, earth quakes, fires, ice age caused world wide devastation.",https://www.youtube.com/watch?v=MUC5kNCMetY,@RobRoy-h5g,0,
It's just big waves,https://www.youtube.com/watch?v=MUC5kNCMetY,@Princess_Emu,0,
oahhhhhh ohhhhhh,https://www.youtube.com/watch?v=MUC5kNCMetY,@gubby-q6y,0,
It’s called the paradise tax.,https://www.youtube.com/watch?v=MUC5kNCMetY,@dianacryer,0,
"My heart still breaks for the Japanese people so many people who have lost loved ones especially the children and elderly. I love the Japanese people their Kindness, Respectful & Honor they are brought up learning. It’s very sad.",https://www.youtube.com/watch?v=MUC5kNCMetY,@gregj.gotham4402,0,
"AI speculation at best fear mongering from the liberal left.
They will start claiming man made climate changes caused by fossil fuel use caused earthquakes and volcanoes",https://www.youtube.com/watch?v=MUC5kNCMetY,@billweg1463,0,
WHY DO PEOPLE STAND THERE LIKE THIS WILL BE GREAT FOR THE INTERNET LIKE WHY R THEY SO STUPID,https://www.youtube.com/watch?v=MUC5kNCMetY,@Elitecamz0,1,
"What the fuck kind of animation was that? A water column may only rise vertically, perpendicular to the ocean floor. Fukin' AI bullshit!",https://www.youtube.com/watch?v=MUC5kNCMetY,@alpussycatthesubstantialch4049,0,
"It's not so much the height of the wave, which is obviously important, but the wavelength.
Wind waves, such as what surfers like to ride, can get very tall but have very short wavelengths and thus will crash on shore and dissipate quickly.

The energy of a long-wavelength wave will just continue to push inland even long after the peak has passed.",https://www.youtube.com/watch?v=MUC5kNCMetY,@chrislong3938,0,
IT IS CALLED A TIDAL WAVE STUPID PEOPLE,https://www.youtube.com/watch?v=MUC5kNCMetY,@jerryslagill4302,0,
